Mission,Initiative,Destination,Mission_Type,Fiscal_Year,Mission_Era,Budget_Amount,Actual_Cost,Cost_Variance,Cost_Variance_Pct,Budget_Status,Total_Mission_Cost,Total_Dev_Cost,Total_Launch_Cost,Total_Ops_Cost,Total_Extension_Cost,Dev_Cost_Share_Pct,Launch_Cost_Share_Pct,Ops_Cost_Share_Pct,Extension_Cost_Share_Pct,Annual_Ops_Cost,Mission_Duration_Yrs,Total_Program_Yrs,Schedule_Variance_Months,Schedule_Status,Success,Is_Success,Is_Failure,Is_Operational
"2001 Mars Odyssey","Mars Surveyor",Mars,Orbiter,2001,2000s,267.20,366.10,98.90,37.01,"4 - Major Overrun     (20-50%)",1116.20,677.00,99.70,78.80,260.70,60.7,8.9,7.1,23.4,3.28,24.03,27.44,1.00,"Slightly Delayed",Operational,0,0,1
Cassini,Independent,Saturn,Orbiter,1992,1990s,1436.40,1375.90,-60.50,-4.21,"1 - Under Budget",5916.80,3019.50,809.30,1149.40,938.60,51.0,13.7,19.4,15.9,57.70,19.92,26.29,18.00,"Significantly Delayed",Success,1,0,0
Contour,"Discovery 6",Comet,Flyby,2002,2000s,69.10,96.80,27.70,40.09,"4 - Major Overrun     (20-50%)",258.10,172.00,86.10,0.00,NULL,66.6,33.4,0.0,NULL,NULL,0.00,3.42,1.00,"Slightly Delayed",Failure,0,1,0
Dart,"Planetary Def",Asteroid,Impact,2021,2020s,219.00,258.30,39.30,17.95,"3 - Minor Overrun     (0-20%)",374.80,274.80,76.30,23.70,NULL,73.3,20.4,6.3,NULL,28.21,0.84,5.57,6.00,"Slightly Delayed",Success,1,0,0
Dawn,"Discovery 9",Asteroid,Orbiter,2007,2000s,202.80,287.10,84.30,41.57,"4 - Major Overrun     (20-50%)",749.70,444.70,137.40,139.70,27.90,59.3,18.3,18.6,3.7,12.59,11.10,16.17,16.00,"Significantly Delayed",Success,1,0,0
"Deep Space 1","New Millennium",Comet,Flyby,1998,1990s,73.30,99.30,26.00,35.47,"4 - Major Overrun     (20-50%)",346.60,221.20,87.30,13.50,24.60,63.8,25.2,3.9,7.1,4.29,3.15,6.21,0.00,"On Schedule",Success,1,0,0
Galileo,Independent,Jupiter,Orbiter,1989,1990s,410.10,1639.00,1228.90,299.66,"5 - Critical Overrun  (>50%)",5323.70,3218.20,946.00,1005.10,154.40,60.5,17.8,18.9,2.9,72.21,13.92,25.97,74.00,"Significantly Delayed",Success,1,0,0
Genesis,"Discovery 5",L1,"Sample Return",2001,2000s,126.10,162.90,36.80,29.18,"4 - Major Overrun     (20-50%)",475.20,300.50,90.40,84.30,NULL,63.2,19.0,17.7,NULL,27.28,3.09,6.77,9.00,"Slightly Delayed",Success,1,0,0
Grail-A,"Discovery 11A",Lunar,Orbiter,2011,2010s,213.50,224.35,10.85,5.08,"3 - Minor Overrun     (0-20%)",327.20,200.40,101.95,12.40,12.40,61.2,31.2,3.8,3.8,9.76,1.27,4.92,2.00,"Slightly Delayed",Success,1,0,0
Grail-B,"Discovery 11B",Lunar,Orbiter,2011,2010s,213.50,224.35,10.85,5.08,"3 - Minor Overrun     (0-20%)",327.20,200.40,101.95,12.40,12.40,61.2,31.2,3.8,3.8,9.76,1.27,4.92,2.00,"Slightly Delayed",Success,1,0,0
Juno,"New Frontiers 2",Jupiter,Orbiter,2006,2000s,700.00,1114.10,414.10,59.16,"5 - Critical Overrun  (>50%)",1669.80,995.90,254.10,208.00,211.80,59.6,15.2,12.5,12.7,14.92,13.94,19.96,26.00,"Significantly Delayed",Success,1,0,0
Ladee,Independent,Lunar,Orbiter,2013,2010s,262.90,279.20,16.30,6.20,"3 - Minor Overrun     (0-20%)",365.80,269.80,75.50,14.00,6.50,73.8,20.6,3.8,1.8,22.95,0.61,6.05,12.00,"Slightly Delayed",Success,1,0,0
Lucy,"Discovery 13",Jupiter,Flyby,2021,2020s,990.00,999.20,9.20,0.93,"3 - Minor Overrun     (0-20%)",1089.60,594.10,167.40,328.10,NULL,54.5,15.4,30.1,NULL,93.74,3.50,8.28,0.00,"On Schedule",Operational,0,0,1
"Lunar Prospector","Discovery 3",Lunar,Orbiter,1998,1990s,61.30,61.70,0.40,0.65,"3 - Minor Overrun     (0-20%)",125.20,60.20,51.10,9.80,4.10,48.1,40.8,7.8,3.3,6.28,1.56,4.42,4.00,"Slightly Delayed",Success,1,0,0
"Mars Climate Orbiter","MPLMCO 1 of 2",Mars,Orbiter,1999,1990s,183.60,183.25,-0.35,-0.19,"1 - Under Budget",285.60,183.25,87.30,15.05,NULL,64.2,30.6,5.3,NULL,19.29,0.78,3.89,0.00,"On Schedule",Failure,0,1,0
"Mars Global Surveyor",Independent,Mars,Orbiter,1996,1990s,140.20,130.70,-9.50,-6.78,"1 - Under Budget",579.60,263.90,105.20,138.20,72.30,45.5,18.2,23.8,12.5,13.85,9.98,12.09,-1.00,"Ahead of Schedule",Success,1,0,0
"Mars Observer",Independent,Mars,Orbiter,1992,1990s,458.60,511.20,52.60,11.47,"3 - Minor Overrun     (0-20%)",2092.70,1309.30,736.20,47.20,NULL,62.6,35.2,2.3,NULL,52.44,0.90,4.97,0.00,"On Schedule",Failure,0,1,0
"Mars Recon Orbiter",Independent,Mars,Orbiter,1999,1990s,334.40,450.00,115.60,34.57,"4 - Major Overrun     (20-50%)",1531.40,681.60,142.10,243.80,463.90,44.5,9.3,15.9,30.3,13.11,18.60,22.45,1.00,"Slightly Delayed",Success,1,0,0
MAVEN,"Scout 2",Mars,Orbiter,2013,2010s,567.20,551.10,-16.10,-2.84,"1 - Under Budget",942.50,499.50,218.10,33.00,191.90,53.0,23.1,3.5,20.4,3.19,10.33,15.50,0.00,"On Schedule",Operational,0,0,1
Messenger,"Discovery 7",Mercury,Orbiter,2004,2000s,326.20,390.00,63.80,19.56,"3 - Minor Overrun     (0-20%)",710.30,363.30,115.20,145.70,86.10,51.1,16.2,20.5,12.1,13.57,10.74,15.33,6.00,"Slightly Delayed",Success,1,0,0
"MSL - Curiosity",Flagship,Mars,Rover,2011,2010s,1068.50,2337.10,1268.60,118.73,"5 - Critical Overrun  (>50%)",4197.70,3068.50,255.70,266.70,606.80,73.1,6.1,6.4,14.5,21.67,12.31,18.29,25.00,"Significantly Delayed",Operational,0,0,1
"NEAR Shoemaker","Discovery 1",Asteroid,Orbiter,1996,1990s,249.40,230.80,-18.60,-7.46,"1 - Under Budget",462.80,257.90,90.90,114.00,NULL,55.7,19.6,24.6,NULL,22.66,5.03,7.16,-1.00,"Ahead of Schedule",Success,1,0,0
Osiris-Rex,"New Frontiers 3",Asteroid,"Sample Return",2016,2010s,865.90,775.10,-90.80,-10.49,"1 - Under Budget",1350.70,747.50,224.50,275.40,103.30,55.3,16.6,20.4,7.6,36.62,7.52,11.88,0.00,"On Schedule",Operational,0,0,1
Psyche,"Discovery 14","Asteroid Belt",Orbiter,2023,2020s,925.00,1108.10,183.10,19.79,"3 - Minor Overrun     (0-20%)",1202.70,935.90,115.90,150.90,NULL,77.8,9.6,12.5,NULL,350.93,0.43,5.88,13.00,"Significantly Delayed",Operational,0,0,1
Stardust,"Discovery 4",Comet,"Sample Return",1999,1990s,117.80,126.40,8.60,7.30,"3 - Minor Overrun     (0-20%)",427.60,244.00,78.00,54.00,51.60,57.1,18.2,12.6,12.1,4.46,12.12,14.48,0.00,"On Schedule",Success,1,0,0
