Mission,Initiative,Destination,Mission_Type,LaunchY,Mission_Era,Proposed_Cost,Realized_Cost,Total_Dev_Cost,Total_Launch_Cost,Total_Ops_Cost,Total_Extension_Cost,Total_Mission_Cost,Cost_Variance_Pct,Mission_Duration_Yrs
Galileo,Independent,Jupiter,Orbiter,1989,1990s,410.1,1639,3218.2,946,1005.1,154.4,5323.7,299.66,13.92
Cassini,Independent,Saturn,Orbiter,1992,1990s,1436.4,1375.9,3019.5,809.3,1149.4,938.6,5916.8,-4.21,19.92
Mars Observer,Independent,Mars,Orbiter,1992,1990s,458.6,511.2,1309.3,736.2,47.2,NULL,2092.7,11.47,0.9
Mars Global Surveyor,Independent,Mars,Orbiter,1996,1990s,140.2,130.7,263.9,105.2,138.2,72.3,579.6,-6.78,9.98
NEAR Shoemaker,Discovery 1,Asteroid,Orbiter,1996,1990s,249.4,230.8,257.9,90.9,114,NULL,462.8,-7.46,5.03
Deep Space 1,New Millennium,Comet,Flyby,1998,1990s,73.3,99.3,221.2,87.3,13.5,24.6,346.6,35.47,3.15
Lunar Prospector,Discovery 3,Lunar,Orbiter,1998,1990s,61.3,61.7,60.2,51.1,9.8,4.1,125.2,0.65,1.56
Mars Climate Orbiter,MPLMCO 1 of 2,Mars,Orbiter,1999,1990s,183.6,183.25,183.25,87.3,15.05,NULL,285.6,-0.19,0.78
Mars Recon Orbiter,Independent,Mars,Orbiter,1999,1990s,334.4,450,681.6,142.1,243.8,463.9,1531.4,34.57,18.6
Stardust,Discovery 4,Comet,Sample Return,1999,1990s,117.8,126.4,244,78,54,51.6,427.6,7.3,12.12
2001 Mars Odyssey,Mars Surveyor,Mars,Orbiter,2001,2000s,267.2,366.1,677,99.7,78.8,260.7,1116.2,37.01,24.03
Genesis,Discovery 5,L1,Sample Return,2001,2000s,126.1,162.9,300.5,90.4,84.3,NULL,475.2,29.18,3.09
Contour,Discovery 6,Comet,Flyby,2002,2000s,69.1,96.8,172,86.1,0,NULL,258.1,40.09,0
Messenger,Discovery 7,Mercury,Orbiter,2004,2000s,326.2,390,363.3,115.2,145.7,86.1,710.3,19.56,10.74
Juno,New Frontiers 2,Jupiter,Orbiter,2006,2000s,700,1114.1,995.9,254.1,208,211.8,1669.8,59.16,13.94
Dawn,Discovery 9,Asteroid,Orbiter,2007,2000s,202.8,287.1,444.7,137.4,139.7,27.9,749.7,41.57,11.1
Grail-A,Discovery 11A,Lunar,Orbiter,2011,2010s,213.5,224.35,200.4,101.95,12.4,12.4,327.2,5.08,1.27
Grail-B,Discovery 11B,Lunar,Orbiter,2011,2010s,213.5,224.35,200.4,101.95,12.4,12.4,327.2,5.08,1.27
MSL - Curiosity,Flagship,Mars,Rover,2011,2010s,1068.5,2337.1,3068.5,255.7,266.7,606.8,4197.7,118.73,12.31
Ladee,Independent,Lunar,Orbiter,2013,2010s,262.9,279.2,269.8,75.5,14,6.5,365.8,6.2,0.61
MAVEN,Scout 2,Mars,Orbiter,2013,2010s,567.2,551.1,499.5,218.1,33,191.9,942.5,-2.84,10.33
Osiris-Rex,New Frontiers 3,Asteroid,Sample Return,2016,2010s,865.9,775.1,747.5,224.5,275.4,103.3,1350.7,-10.49,7.52
Dart,Planetary Def,Asteroid,Impact,2021,2020s,219,258.3,274.8,76.3,23.7,NULL,374.8,17.95,0.84
Lucy,Discovery 13,Jupiter,Flyby,2021,2020s,990,999.2,594.1,167.4,328.1,NULL,1089.6,0.93,3.5
Psyche,Discovery 14,Asteroid Belt,Orbiter,2023,2020s,925,1108.1,935.9,115.9,150.9,NULL,1202.7,19.79,0.43
