Mission_Type,Years_Out,Base_Projection,Risk_Adjusted_Projection,Projected_Dev_Cost,Projected_Ops_Cost,Historical_Overrun_Pct
Flyby,1,581.71,730.05,338.97,117.29,25.50
Flyby,2,599.16,751.95,349.14,120.8,25.50
Flyby,3,617.14,774.51,359.62,124.43,25.50
Flyby,4,635.65,797.75,370.4,128.16,25.50
Flyby,5,654.72,821.68,381.52,132.01,25.50
Impact,1,386.04,455.34,283.04,24.41,17.95
Impact,2,397.63,469,291.54,25.14,17.95
Impact,3,409.55,483.07,300.28,25.9,17.95
Impact,4,421.84,497.56,309.29,26.67,17.95
Impact,5,434.5,512.49,318.57,27.47,17.95
Orbiter,1,1437.72,1876.07,822.84,213.12,30.49
Orbiter,2,1480.85,1932.36,847.52,219.51,30.49
Orbiter,3,1525.27,1990.33,872.95,226.1,30.49
Orbiter,4,1571.03,2050.04,899.14,232.88,30.49
Orbiter,5,1618.16,2111.54,926.11,239.87,30.49
Rover,1,4323.63,9457.08,3160.56,274.7,118.73
Rover,2,4453.34,9740.79,3255.37,282.94,118.73
Rover,3,4586.94,10033.01,3353.03,291.43,118.73
Rover,4,4724.55,10334,3453.62,300.17,118.73
Rover,5,4866.28,10644.02,3557.23,309.18,118.73
"Sample Return",1,773.71,840.71,443.59,142.04,8.66
"Sample Return",2,796.92,865.93,456.9,146.3,8.66
"Sample Return",3,820.82,891.91,470.6,150.69,8.66
"Sample Return",4,845.45,918.66,484.72,155.21,8.66
"Sample Return",5,870.81,946.22,499.26,159.86,8.66
